productName,country,region,dateSold
Dell Laptop,Nigeria,Africa,24-4-2020
Acer Laptop,South Africa,Africa,17-8-2021
Apple MacBook Charger,USA,North America,6-5-2019
iPad,USA,North America,8-2-2017
Dell Laptop Charger,Sweden,Europe,17-8-2020
Apple Watch,South Africa,Africa,03-3-2019
HP Laptop Battery,Australia,Asia,17-5-2025
Monitor,Ghana,Africa,19-11-2024
HP Laptop,Brazil,South America,5-1-2023
Nokia G10,Argentina,South America,10-10-2021
HP Laptop Keyboard,Sweden,Europe,1-2-2023
Samsung Galaxy,Spain,Europe,14-11-2022
iPhone 16 ProMax,Uruguay,South America,10-7-2022
iPhone 16 ProMax,Nigeria,Africa,12-12-2023
Lenovo Laptop,England,Europe,1-5-2019
Acer Laptop,Germany,Europe,7-10-2024
Lenovo Laptop,China,Asia,3-8-2021
Hp Laptop,Japan,Asia,30-1-2022
